input,output
"Sometimes we do what we have to do, not what we want to do.","A veces hacemos lo que debemos hacer, no lo que queremos hacer."
"Sometimes when it's very cold, I can't get my car to start.","A veces, cuando hace mucho frío, no puedo arrancar el coche."
"Sometimes when it's very cold, I can't get my car to start.","A veces, cuando hace mucho frío, no consigo arrancar el coche."
Spend your time wisely and you'll always have enough of it.,Gasta tu tiempo con sabiduría y siempre tendrás suficiente de él.
Stress can have an enormous negative impact on your health.,El estrés puede tener un gran impacto negativo en tu salud.
Studying how to communicate effectively is time well spent.,Estudiar cómo comunicarse de manera efectiva es tiempo bien empleado.
Sweating allows the human body to regulate its temperature.,La sudoración permite al cuerpo humano regular su temperatura.
Sweating allows the human body to regulate its temperature.,Sudar permite al cuerpo humano regular su temperatura.
Sweating allows the human body to regulate its temperature.,El sudor permite regular la temperatura corporal.
Taking the group of children to the library was no problem.,No fue un problema llevar al grupo de niños a la biblioteca.
"Tears of joy streamed down Mary's face as Tom said, ""I do.""","A Mary le rodaron lágrimas de dicha por las mejillas cuando Tom dijo ""Sí, quiero."""
Tell Tom I'm not interested in the car he's trying to sell.,Decile a Tom que no estoy interesada en el auto que está intentando vender.
Tell me the reason why you want to live in the countryside.,Dime por qué quieres vivir en el campo.
Thank you very much for driving me all the way to my house.,Gracias por llevarme (en coche) hasta mi casa.
Thank you very much for driving me all the way to my house.,Gracias por traerme en coche hasta mi casa.
That author translated those fairy tales into our language.,Ese autor tradujo esos cuentos de hadas a nuestro idioma.
That theater has a foreign film festival every other month.,Ese teatro realiza un festival de películas extranjeras cada dos meses.
The Apollo program greatly advanced our knowledge of space.,El programa Apolo dio un gran avance a nuestro conocimiento del espacio.
The Sioux tribe asked the government to enforce the treaty.,La tribu de los sioux pidió al gobierno que cumpliera el tratado.
The Steve Miller Band released a new album in June of 2010.,La Steve Miller Band sacó un nuevo álbum en junio del 2010.
The Suez Canal links the Mediterranean Sea and the Red Sea.,El canal de Suez une el mar Mediterráneo y el mar Rojo.
The ambulances carried the injured to the nearest hospital.,Las ambulancias llevaron a los heridos al hospital más cercano.
The construction of the building will be started next year.,La construcción del edificio comenzará el próximo año.
The crew is busy preparing for the voyage into outer space.,La tripulación está ocupada preparándose para el viaje al espacio exterior.
The defense attorney asked for mercy for the condemned man.,El abogado defensor pidió piedad para el condenado.
The doctor told Tom that he should eat a lot of vegetables.,El médico le dijo a Tom que debería comer muchas verduras.
The door frame is warped and the door won't close properly.,El marco de la puerta está deformado y la puerta no cerrará perfectamente.
The driver is responsible for the safety of the passengers.,El conductor es responsable de la seguridad de los pasajeros.
The eagle soared majestically above the snow-covered peaks.,El águila se elevó majestuosamente por encima de los picos cubiertos de nieve.
The eagle soared majestically above the snow-covered peaks.,El águila se elevó majestuosamente por encima de las cumbres cubiertas de nieve.
The explosion was so powerful that the roof was blown away.,La explosión fue tan fuerte que el techo salió volando.
The fog was so thick that I couldn't see where I was going.,La niebla era tan espesa que no veía por donde iba.
The grass is always greener on the other side of the fence.,El pasto del vecino es más verde.
The grass is always greener on the other side of the fence.,El césped siempre es más verde al otro lado de la valla.
The grass is always greener on the other side of the fence.,El pasto está siempre más verde al otro lado de la cerca.
The guard thought they were joking until he saw their guns.,El guardia creía que estaban bromeando hasta que vio sus armas.
"The instant he opened the door, he smelt something burning.","En el instante en que él abrió la puerta, él olió algo quemándose."
The latest issue of the magazine will come out next Monday.,El número más nuevo de la revista sale el próximo lunes.
The members of the jury listened carefully to the attorney.,Los miembros del jurado escucharon cuidadosamente al abogado.
The mere idea of swimming across the river made me tremble.,La mera idea de atravesar el río a nado me hizo temblar.
The mouse was lured into the trap by a big piece of cheese.,El ratón fue atraído hasta la trampa por un gran trozo de queso.
The murderer was convicted and sentenced to life in prison.,El asesino fue condenado y sentenciado a cadena perpetua.
The next song I'm going to sing is one I wrote last summer.,La siguiente canción que voy a cantar es una que escribí el verano pasado.
The next song I'm going to sing is one I wrote last summer.,La próxima canción que cantaré es una que escribí el último verano.
The old man was run over and immediately taken to hospital.,El anciano fue atropellado y fue llevado inmediatamente al hospital.
The only useful answers are those that raise new questions.,Las únicas respuestas útiles son las que plantean nuevas preguntas.
The other day I went fishing for the first time in my life.,El otro día fui a pescar por primera vez en mi vida.
"The painting looks great, but you hung it a little crooked.","La pintura se ve genial, pero la colgaste un poco chueca."
The pig snorted while rooting around in search of truffles.,La cerda gruñía mientras hozaba la tierra en busca de trufas.
The plane had already taken off when I reached the airport.,El avión ya había despegado cuando llegué al aeropuerto.
The police found evidence that the man committed the crime.,La policía encontró evidencia de que el hombre cometió el crimen.
The police took some pictures of the scene of the accident.,La policía tomó algunas fotos de la escena del accidente.
The priest blessed the congregation at the end of the mass.,El sacerdote bendijo a la congregación al término de la misa.
The quality of their products has gone down over the years.,La calidad de sus productos ha caído con el paso de los años.
The students pretended that they couldn't hear the teacher.,Los alumnos fingieron que no podían oír al profesor.
The students stood up one by one and introduced themselves.,Los estudiantes se levantaron uno por uno y se presentaron.
"The style is nice, but do you have it in a different color?","El estilo me gusta, pero ¿lo tienes en otro color?"
"The sun was shining and it was warm, so I took the day off.","Brillaba el sol y hacía bueno, así que me tomé el día libre."
The teacher caught the student cheating on the examination.,El profesor pilló al alumno copiando en el examen.
"The train was delayed, so I could not arrive there on time.","El tren se retrasó, así que no pude llegar a tiempo."
The voices coming from the jungle frightened the explorers.,Las voces provenientes de la jungla espantaron a los exploradores.
The weather was getting worse and worse as the day went on.,El tiempo va empeorando a medida que avanza el día.
The weights were so heavy that the barbell started to bend.,Los discos eran tan pesados que la barra empezó a doblarse.
"There are so many stars in the sky, I can't count them all.",Hay tantas estrellas en el cielo que no puedo contarlas todas.
"There are some misprints, but all in all, it's a good book.","Hay algunos errores de impresión, pero en general, es un buen libro."
There is absolutely no way that I would go on a trip alone.,No hay absolutamente ninguna manera en que yo vaya de viaje solo.
There was a crowd of people at the entrance of the theater.,Había un montón de gente a la entrada del teatro.
There was a crowd of people at the entrance of the theater.,Había un mogollón de gente a la entrada del teatro.
There was a crowd of people at the entrance of the theater.,Había mogollón de gente a la entrada del teatro.
There was a large audience at the piano recital last night.,Hubo un mucho público en el recital de piano de anoche.
There were many things that I didn't like about that movie.,Hubo muchas cosas que no me gustaron acerca de la película.
There were many things that Tom wanted Mary to do that day.,Hubo muchas cosas que Tom quiso que Mary hiciera ese día.
There were many things that Tom wanted Mary to do that day.,Había muchas cosas que Tom quería que Mary hiciera ese día.
There were only a few patches of vegetation near the river.,Sólo había algunas manchas de vegetación cerca del río.
There's a theory that dog owners often resemble their dogs.,Hay una teoría que dice que los dueños usualmente se parecen a sus perros.
There's something very strange happening here in our house.,Algo muy raro está sucediendo aquí en casa.
These programs had to be paid for by taxes from the people.,Estos programas tuvieron que ser pagados con los impuestos del pueblo.
They sounded the alarm when they saw the enemy approaching.,Sonaron la alarma cuando vieron al enemigo acercándose.
They were all so tired that they could do nothing but yawn.,Todos estaban tan cansados que no hacían más que bostezar.
They won't be able to do anything about that problem today.,No serán capaces de hacer nada con ese problema hoy.
Things might've turned out better if you hadn't gone there.,Las cosas hubieran terminado mejor si no hubiésemos ido allí.
This is going to be the hottest summer in thirty-six years.,Este va a ser el verano más caluroso en treinta y seis años.
This is one of the best restaurants that I've ever been to.,Este es uno de los mejores restaurantes en los que he estado.
This is one of the dictionaries I told you about yesterday.,Este es uno de los diccionarios de los que te hablé ayer.
This is such an easy problem that any student can solve it.,Este es un problema tan fácil que cualquier estudiante puede resolver.
This is the house which was designed by a famous architect.,Esta es la casa que fue diseñada por un famoso arquitecto.
"This looks longer than that, but it is an optical illusion.","Esto parece más largo que eso, pero es una ilusión óptica."
This watch needs to be repaired. It gains 20 minutes a day.,Hay que arreglar este reloj. Se adelanta veinte minutos en un día.
"Though it stopped raining, the wind was still blowing hard.","Aunque paró de llover, el viento seguía soplando con fuerza."
Three-fourths of the earth's surface is covered with water.,Tres cuartos de la superficie de la Tierra están cubiertos de agua.
"Tom adjusted the seat, put in the key, and then drove away.","Tom ajustó el asiento, metió la llave y se fue conduciendo."
Tom almost always uses a credit card when he goes shopping.,Tom casi siempre usa una tarjeta de crédito cuando va de compras.
Tom and Mary were out on the balcony at two in the morning.,Tom y Mary estaban fuera en el balcón a las dos de la mañana.
Tom and Mary were still sleeping when John left for school.,Tom y Mary estaban aún durmiendo cuando John se fue a la escuela.
Tom announced that he'd be retiring at the end of the year.,Tom anunció que se jubilaría a final de año.
Tom asked Mary about the accident that she was involved in.,Tom le preguntó a Mary acerca del accidente en el que estaba involucrada.
Tom began to believe that he'd never be able to walk again.,Tom empezó a creer que él nunca sería capaz de caminar otra vez.
Tom began to believe that he'd never be able to walk again.,Tom empezó a creer que nunca podría volver a andar.
Tom can play the harmonica and the guitar at the same time.,Tom puede tocar la armónica y la guitarra al mismo tiempo.
Tom can swim faster than anyone else in his swimming class.,Tom puede nadar más rápido que cualquier otro de su clase de natación.
Tom can't carry all those suitcases so you should help him.,"Tom no puede cargar todas esas valijas, así que deberías ayudarle."
Tom couldn't believe how ugly Mary became as she got older.,Tom no podía creer lo fea que se volvía María a medida que envejecía.
Tom couldn't control himself when he saw Mary kissing John.,Tomás no se pudo controlar al ver a María besando a Juan.
Tom couldn't rule out the possibility that he was mistaken.,Tom no pudo descartar la posibilidad de que él estuviera equivocado.
Tom couldn't understand why no one else seemed to be happy.,Tom no podía entender por qué nadie más parecía estar contento.
Tom decided not to buy the car he was looking at yesterday.,Tom decidió no comprar el auto que estaba viendo ayer.
Tom decided to snoop around and see what he could find out.,Tom decidió fisgonear y ver que podía averiguar.
Tom didn't bring the matter up at the meeting this morning.,Tom no sacó el tema en la reunión de esta mañana.
Tom didn't even have the courtesy to say that he was sorry.,Tom ni siquiera tuvo la cortesía de decir que lo sentía.
Tom didn't realize he shouldn't be doing what he was doing.,Tom no se dio cuenta de que no debería estar haciendo lo que estaba haciendo.
Tom didn't want Mary to see his painting until it was done.,Tom no quería que María viera su pintura hasta que estuviera lista.
Tom died in the evening of the day he and Mary got married.,Tom murió la noche del día en que él y Mary se casaron.
Tom doesn't have to wash the car. Mary's already washed it.,Tom no necesita lavar el auto. Mary ya lo lavó.
Tom doesn't like it when people park in front of his house.,A Tom no le gusta cuando la gente estaciona enfrente de su casa.
Tom doesn't remember too much about what happened that day.,Tom no recuerda mucho acerca de lo que sucedió aquel día.
Tom doesn't think Mary's French pronunciation is very good.,Tom no cree que la pronunciación francesa de Mary sea muy buena.
Tom doesn't want his parents to find out that he was drunk.,Tom no quiere que sus padres se enteren de que él estaba borracho.
Tom doesn't want you to share this information with anyone.,Tom no quiere que compartas esta información con nadie.
Tom followed in his father's footsteps and became a lawyer.,Tom siguió los pasos de su padre y llegó a ser abogado.
Tom got paint on his shirt while he was painting the fence.,Tom dejó caer pintura en su camisa mientras pintaba la cerca.
Tom has been playing the violin for more than thirty years.,Tom ha tocado el violín por más de treinta años.
Tom has been to this park with Mary at least a dozen times.,Tom ha estado con Mary en este parque al menos doce veces.
"Tom is a New Yorker, but he doesn't have a New York accent.","Tom es neoyorquino, pero no tiene acento de Nueva York."
Tom is exactly the sort of guy Mary wants to hang out with.,Tom es exactamente la clase de tipo con el que María quiere salir.
Tom is still the same weight he was when he was a teenager.,Tom aún mantiene el peso que tenía cuando era adolescente.
Tom is sure that Mary didn't really go to Boston last week.,Tom está seguro de que Mary en realidad no fue a Boston la semana pasada.
Tom is the kind of guy that a girl could fall in love with.,Tom es la clase de tipo del que una niña se podría enamorar.
Tom leaned in and gave Mary a passionate kiss on the mouth.,Tom se inclinó y le dio a Mary un beso apasionado en la boca.
Tom makes a lot of money translating menus for restaurants.,Tom gana mucho dinero traduciendo menús para restaurantes.
Tom noticed that Mary was sitting in the corner by herself.,Tom notó que María estaba sentada sola en la esquina.
Tom opened the window a crack to let in a bit of fresh air.,Tom abrió un poco la ventana para dejar entrar un poco de aire.
Tom planted three apple trees and a peach tree in his yard.,Tom plantó tres manzanos y un melocotonero en su jardín.
Tom postponed his party until Mary got out of the hospital.,Tom pospuso su fiesta hasta que María saliera del hospital.
Tom put the new tablecloth he had just bought on the table.,Tom puso el mantel nuevo que acababa de comprar en la mesa.
Tom rinsed off the plates and put them into the dishwasher.,Tom enjuagó los platos y los puso dentro del lavavajillas.
Tom said he doesn't think that Mary should do that outside.,Tom dijo que se le hace que Mary no debería hacer eso afuera.
Tom said that he thought that he knew what the problem was.,Tom dijo que pensó que sabía cuál era el problema.
Tom said that he thought that he knew what the problem was.,Tom dijo que pensaba que sabía cuál era el problema.
Tom shared the apartment with Mary and three other friends.,Tom compartía departamento con Mary y otros tres amigos.
Tom should have told Mary right away that he wasn't single.,Tom debió haberle dicho de inmediato a Mary que él no era soltero.
Tom smuggled a bottle of whiskey into Mary's hospital room.,Tom metió de contrabando una botella de whisky a la habitación de Mary en el hospital.
Tom thought Mary was the most beautiful woman in the world.,Tom pensaba que Mary era la mujer más linda del mundo.
Tom thought that the amulet would protect him from witches.,Tom pensó que el amuleto lo protegería contra brujas.
Tom told Mary that he had finished the work a few days ago.,Tom le dijo a Mary que él había terminado el trabajo hace unos días atrás.
Tom told Mary that he thought John was really stressed out.,Tom le dijo a Mary que pensaba que John estaba verdaderamente nervioso.
Tom told Mary that he wouldn't be doing anything dangerous.,Tom le dijo a Mary que él no haría nada peligroso.
Tom took one of the shirts out of the closet and put it on.,Tom sacó una de las camisas del armario y se la puso.
Tom took the CD out of its case and put it into the player.,Tom sacó el CD de su caja y lo puso en el reproductor.
Tom tried to make up for his lack of sleep by taking a nap.,Tom trató de compensar su falta de sueño tomando una siesta.
Tom wanted to eat at the small restaurant behind the hotel.,Tom quería comer en el pequeño restaurante detrás del hotel.
"Tom was caught red-handed, stealing from the cash register.","Tom fue atrapado con las manos en la masa, robando de la caja registradora."
Tom was looking for some people to help him move his piano.,Tom estaba buscando gente que le ayudara a mover su piano.
Tom was really glad to hear that Mary had passed her exams.,Tom estaba realmente contento al oír que María había aprobado sus exámenes.
Tom was relieved to hear that Mary had arrived home safely.,Tom estaba aliviado al oír que María había llegado sana y salva a casa.
Tom was stupid enough to challenge Mary to a game of chess.,Tom fue lo suficientemente estúpido para desafiar a María a una partida de ajedrez.
Tom was unable to remember what he had eaten for breakfast.,Tom no podía recordar qué había comido de desayuno.
Tom went out for a walk as he always does in the afternoon.,Tom salió a dar un paseo como lo hace siempre en la tarde.
Tom won't ever be able to forgive Mary for cheating on him.,Tom jamás podrá perdonar a Mary por haberlo engañado.
Tom wondered how long it would take Mary to finish the job.,Tom se preguntaba cuánto le tomaría a María terminar el trabajo.
"Unless I leave right away, I'll be late for my appointment.",Si no me voy inmediatamente llegaré tarde a mi cita.
We are not the only ones who believe that he is not guilty.,No somos los únicos en pensar que es inocente.
We cannot tell a good person from a bad one by looks alone.,No podemos diferenciar a una persona buena de una mala sólo por su apariencia.
We did not evolve from monkeys. We share a common ancestor.,No descendemos de los monos. Compartimos un ancestro común.
We have absolute proof that smoking is bad for your health.,Tenemos la prueba absoluta de que fumar es malo para la salud.
We have to put the piano on its side in order to get it in.,Hay que poner el piano de lado para que entre.
We heard the explosion and saw the house burst into flames.,Oímos la explosión y vimos la casa prenderse en llamas.
We were deeply impressed by the lecturer's eloquent speech.,Estábamos profundamente impresionados por el elocuente discurso del expositor.
We'd better hurry. I don't want to be late for the concert.,Mejor apurémonos. No quiero llegar tarde al concierto.
What effect did the doctor say this medicine has on people?,¿Qué efecto dijo el doctor que tenía esta medicina en la gente?
What is the difference between imitation and real diamonds?,¿Cuál es la diferencia entre los diamantes de imitación y los reales?
What she lacks in charisma she makes up for with hard work.,"Lo que le falta en carisma, ella lo compensa con trabajo duro."
What sort of jewelry are you going to wear with this dress?,¿Qué clase de joyería vas a usar con este vestido?
What you're saying now has nothing to do with the question.,Lo que dice usted ahora no viene a cuento.
"When I have finished my lunch, I will lie down for an hour.","Cuando haya terminado mi almuerzo, me recostaré por una hora."
"When I left the house this morning, Tom was still sleeping.","Cuando salí de casa esta mañana, Tom todavía estaba durmiendo."
"When I opened my eyes, I realized she was right by my side.",Al abrir los ojos me di cuenta que ella estaba justo al lado mío.
"When I travel somewhere, I never take much baggage with me.",Cuando viajo a algún sitio nunca llevo mucho equipaje.
"When I was a child, I was spanked if I did something wrong.","Cuando era pequeño, me daban unos azotes cuando hacía algo malo."
"When I was young, I tried to read as many books as I could.",Cuando yo era joven intentaba leer tantos libros como pudiera.
"When I was young, I would often go to watch baseball games.","Cuando yo era joven, solía ir a ver partidos de béisbol."
"When I woke up this morning, the rain had turned into snow.","Cuando me he levantado esta mañana, la lluvia se había convertido en nieve."
"While employed at the bank, he taught economics at college.","Mientras trabajaba en un banco, enseñaba economía en una universidad."
Why do you think Tom and Mary are planning to get divorced?,¿Por qué piensas que Tom y Mary están planeando divorciarse?
Why would anyone hide something like that inside this cave?,¿Por qué alguien escondería algo así dentro de esta cueva?
Will you please explain the meaning of this sentence to me?,¿Me explicarías por favor el significado de esa frase?
Wounds made with knives heal. Wounds made with words don't.,"La herida hecha con el cuchillo se cura, la herida hecha con la lengua no."
Write down the medications you need on this piece of paper.,Escribe en este papel las medicinas que necesites.
You can get fined for riding a motorcycle without a helmet.,"Por ir sin casco en la moto, pueden ponerte multa."
You can see the smokestacks of the factory from the window.,Desde la ventana se ven las chimeneas de la fábrica.
You got better because you did everything the doctor asked.,Te pusiste mejor porque hiciste todo lo que te dijo el médico.
"You know that Tom and Mary both want to do that, don't you?","Usted sabe que Tom y Mary quieren hacer eso, ¿no?"
"You may be right, but we have a slightly different opinion.","Puede que esté en lo correcto, pero nuestra opinión es ligeramente diferente."
You must have a lot of patience to learn foreign languages.,Hay que tener mucha paciencia para aprender lenguas extranjeras.
You promised that you'd stand by me through thick and thin.,Me prometiste que estarías conmigo en lo bueno y en lo malo.
You should avoid tight fitting clothes if you are pregnant.,No deberías usar ropa ajustada si estás embarazada.
You should study hard so that you can pass the examination.,Deberías estudiar duro para que puedas aprobar el exámen.
You shouldn't say such a thing in the presence of children.,No deberías decir esa clase de cosas cuando hay niños cerca.
"You taught French for a few years in Australia, didn't you?","Tú enseñaste francés por un poco de años en Australia, ¿No ´´es verdad?"
"You won't mind staying here alone while I'm away, will you?","No te importa quedarte aquí sola mientras estoy fuera, ¿verdad?"
"You won't mind staying here alone while I'm away, will you?","No os importa quedaros aquí solos mientras estoy fuera, ¿a que no?"
You'd better stay at home rather than go out on such a day.,Deberías quedarte en casa en lugar de salir en un día así.
You're the only person I know that has ever visited Boston.,Eres la única persona que conozco que ha visitado Boston.
You're under arrest for endangering the welfare of a minor.,Está detenido por poner en peligro el bienestar de un menor.
"I don't have my license with me. ""No problem, I'll drive.""","No tengo mi permiso de conducir conmigo. ""No hay problema, yo conduciré."""
"This used to be such a friendly place. ""Tell me about it.""",«Este lugar solía ser tan agradable.» «Hábleme de ello.»
A dog that barks all the time doesn't make a good watch dog.,Un perro que está siempre ladrando no es un buen perro guardián.
A high degree of specialization is required in that company.,Un alto grado de especialización es requerido en esta compañía.
A man is as old as he feels and a woman as old as she looks.,"Un hombre es tan viejo como se siente, y una mujer es tan vieja como aparenta."
A society without religion is like a ship without a compass.,Una sociedad sin religión es como un barco sin brújula.
A time bomb went off in the airport killing thirteen people.,Una bomba de tiempo estalló en el aeropuerto matando a trece personas.
A water molecule has two hydrogen atoms and one oxygen atom.,Una molécula de agua tiene dos átomos de hidrógeno y un átomo de oxígeno.
"Afraid of hurting his feelings, I didn't tell him the truth.",No le dije la verdad por miedo a herir sus sentimientos.
"After winning all the matches, he got the title of champion.","Después de vencer en todos los encuentros, obtuvo el título de campeón."
"After you finish reading the book, put it back where it was.","Después de que hayas terminado de leer el libro, ponlo de vuelta al sitio donde estaba."
All Tom wanted was for Mary to learn to get along with John.,Todo lo que Tom quería era que Mary aprendiera a llevarse bien con John.
All taxpayers have the right to know where their money goes.,Todo contribuyente tiene el derecho a saber adonde va su dinero.
All the doctor's efforts were in vain and the man soon died.,"Todos los esfuerzos del médico fueron en vano, enseguida el hombre murió."
All you have to do is study hard to get into a good college.,Todo lo que debes hacer es estudiar duro para ser admitido en una buena universidad.
An artist uses many tubes of paint to make a large painting.,Un artista ocupa muchos tubos de pintura para hacer una pintura grande.
"An orphan at three, he was brought up by a distant relative.","Se quedó huérfano a los tres años, y fue criado por un pariente lejano."
Are they arriving at ten o'clock in the morning or at night?,¿Llegan a las diez de la mañana o de la noche?
Are you honestly telling me you never want to see Tom again?,¿Me estás diciendo honestamente que no quieres ver a Tom nunca más?
Are you seriously thinking about starting your own business?,¿Estás pensando seriamente en comenzar tu propio negocio?
Are you sure you don't want to use the toilet before you go?,¿Estás seguro de que no quieres ir al baño antes de salir?
"As far as I know, the novel is not translated into Japanese.","Hasta donde yo sé, la novela no está traducida al japonés."
"As his lips got bluer, I nervously waited for the ambulance.",Esperaba ansiosamente a la ambulancia mientras sus labios se ponían azules.
"As soon as he opened the door, he smelled something burning.","En el instante en que él abrió la puerta, él olió algo quemándose."
"As soon as the lesson was over, they rushed out of the room.","Tan pronto como terminó la clase, salieron pitando del aula."
Bad drivers should have their licenses taken away from them.,Los conductores irresponsables deberían tener retenidas sus licencias.
Be sure to look over your paper again before you hand it in.,Asegúrate de echarle un vistazo a tu trabajo antes de entregarlo.
"Because of the rain, we weren't able to play tennis outside.","A causa de la lluvia, no pudimos jugar al tenis fuera."
"Before I answer, I'd like to know why you're asking me that.",Antes de dar una respuesta me gustaría saber por qué me lo preguntas.
Believe none of what you hear and only half of what you see.,"No creas nada de lo que oigas, y solo la mitad de lo que veas."
"Both my brothers are married, but my sisters are all single.","Mis dos hermanos están casados, pero todas mis hermanas son solteras."
Business is brisk now and we are up to the elbows in orders.,El negocio es dinámico ahora y estamos hasta los codos de pedidos.
"By the age of 25, she had lived in five different countries.","A los 25 años, ella había vivido en cinco países diferentes."
"By the time I got to school, the class had already finished.","Cuando llegué a la escuela, la clase ya había terminado."
"By the time I got to the station, my train had already left.","Cuando llegué a la estación, mi tren ya había partido."
California was the 31st state admitted to the United States.,California fue el trigésimo primer estado admitido en los Estados Unidos.
Did you find the umbrella you said you'd lost the other day?,¿Encontraste el paraguas que dijiste que habías perdido el otro día?
Did you know there were a few foxes living on this mountain?,¿Sabías que había unos cuantos zorros viviendo en esta montaña?
Do you have a pencil sharpener? I need to sharpen my pencil.,¿No tendrías un sacapunta? Tengo que sacarle punta al lápiz.
Do you know how many people died in yesterday's plane crash?,¿Sabes cuántas personas murieron en el accidente de avión de ayer?
Do you want to go out or stay at home? Either is OK with me.,¿Quieres salir o quedarte en casa? A mí me da lo mismo.
Don't you have anything better to do than read this garbage?,¿No tienes nada mejor que hacer que leer estas tonterías?
Don't you have anything better to do than read this garbage?,¿No tienes nada mejor que hacer que leer esta mierda?
Every child needs a father or a father figure in their life.,Todo niño necesita un padre o una figura paterna en su vida.
"Everyone knows about the problem, but no one talks about it.","El problema es conocido de todos, pero nadie habla de ello."
"Excuse me, but could you tell me how to get to Central Park?","Perdone, ¿podría decirme cómo llegar a Central Park?"
"Excuse me, would you show me how to use the washing machine?","Perdone, ¿le importaría enseñarme cómo se usa la lavadora?"
Germany is one of the largest cheese producers in the world.,Alemania es uno de los productores de queso más grandes del mundo.
"Halfway there, Tom started to miss Mary, and he turned back.",A medio camino Tom empezó a echar de menos a María y dio media vuelta.
Have you ever been hospitalized for bronchitis or pneumonia?,¿Te han hospitalizado alguna vez por una bronquitis o una neumonía?
Have you finished reading the book I lent you the other day?,¿Terminaste de leer el libro que te presté el otro día?
"Having failed twice yesterday, he doesn't want to try again.","Como falló dos veces ayer, no quiere volver a intentarlo."
He didn't deny that he was formerly involved in the program.,Él no negó que anteriormente estuvo involucrado en el programa.
He explained to Mary why he was late for her birthday party.,Él le explicó a Mary por qué llegaba tarde a su fiesta de cumpleaños.
"He left for Europe a week ago, that is, on the tenth of May.","Él salió hacia Europa hace una semana, eso es, el diez de mayo."
He met many fascinating people in the course of his travels.,Conoció a muchas personas fascinantes en el curso de sus viajes.
"He opened his mouth as if to speak, but didn't say anything.","Abrió la boca como si fuera a hablar, pero no dijo nada."
He said he wouldn't go to the party because he had to study.,Él dijo que no iba a la fiesta porque tenía que estudiar.
He took charge of the family business after his father died.,Él se hizo cargo de los negocios de la familia después de la muerte de su padre.
He wanted them to go to college and learn to be businessmen.,Él quería que fueran a la universidad y aprendieran a ser hombres de negocios.
"He who fights may lose, but he who doesn't has already lost.","Quien lucha puede perder, quien no lucha ya perdió."
"He who fights may lose, but he who doesn't has already lost.","El que lucha puede perder, el que no lucha ya perdió."
He's given to going overboard every time he gets a new idea.,Le da por exagerar cada vez que tiene una nueva idea.
Her son is a mama's boy. He has to be with her all the time.,Su hijo está bien mimado. Tiene que estar con ella siempre.
"His bag is right here, so he cannot have gone to school yet.","Su bolsa está aquí, así que no puede haberse ido a la escuela aún."
His public support for the British government was unpopular.,Su apoyo público al gobierno británico era impopular.
Holmes went out of the room without being noticed by anyone.,Holmes salió del dormitorio sin que nadie se diera cuenta.
Holmes went out of the room without being noticed by anyone.,Holmes salió de la habitación sin que nadie se diera cuenta.
How could you just walk out the door without saying goodbye?,¿Cómo pudiste salir por la puerta así nada más sin despedirte?
How do you console a woman who has just lost her only child?,¿Cómo consolar a una mujer que acaba de perder a su único hijo?
How long does it take for a veterinarian to examine a horse?,¿Cuánto tiempo necesita un veterinario para examinar a un caballo?
How many times do you go to the beach to swim in the summer?,¿Cuántas veces vas a la playa a nadar en el verano?
I always end up looking up the same words in the dictionary.,Siempre termino buscando las mismas palabras en el diccionario.
I am going to do my homework when I get home this afternoon.,Voy a hacer la tarea a la tarde cuando llegue a casa.
I am going to do my homework when I get home this afternoon.,Voy a hacer los deberes esta tarde cuando llegue a casa.
"I believe, beyond a shadow of a doubt, that she is innocent.","Creo, sin sombra de duda, que ella es inocente."
I bought this book at the bookstore in front of the station.,Compré este libro en la librería frente a la estación.
I can still remember the time when Tom fell out of the tree.,Todavía me puedo acordar de la vez que Tom se cayó del árbol.
I can't figure out why someone would do something like that.,No puedo entender por qué alguien haría algo como eso.
I checked twice to make certain we hadn't made any mistakes.,Revisé dos veces para estar seguro de que no habíamos cometido ningún error.
I copied in my notebook whatever he wrote on the blackboard.,Copié en mi cuaderno lo que él escribió en la pizarra.
I could hear a student snoring in the back of the classroom.,Podía oír roncar a un estudiante al fondo del aula.
I don't have any more room on my shelves for any more books.,No me queda sitio en mis estanterías para más libros.
I don't have any more room on my shelves for any more books.,No tengo sitio en mis estanterías para un libro más.
I don't know if I'll be able to eat lunch with you tomorrow.,No sé si voy a poder almorzar con vos mañana.
"I don't know what that word means, but I'll try to find out.","No se qué significa esa palabra, pero trataré de averiguarlo."
"I don't know what you're cooking, but it smells really good.","No sé qué estás cocinando, pero huele muy bien."
"I don't know who's responsible, but I promise I'll find out.","No sé quién es el responsable, pero prometo que voy a descubrirlo."
I don't think Tom will admit he doesn't know how to do that.,No creo que Tom admita que no tiene ni idea.
I don't think Tom will admit he doesn't know how to do that.,Me parece que Tom no va a reconocer que no sabe hacerlo.
I don't think she'll be happy living with her mother-in-law.,No creo que sea muy feliz viviendo con su suegra.
I don't think that anyone has lived in this house for years.,No creo que nadie haya vivido en esta casa en años.
I don't think you're as good of a driver as you say you are.,No creo que seas tan buen conductor como dices.
I don't want you to feel that I'm pressuring you to do this.,No quiero que sientas que te estoy presionando para que hagas esto.
I dreamed that I was eating my granddaughter's wedding cake.,Soñé que me estaba comiendo la tarta de bodas de mi nieta.
I enforce the rules even though I don't agree with them all.,Yo hago cumplir las reglas a pesar de que no estoy de acuerdo con todas.
"I found a note on the table, but I don't know who it's from.","Encontré una nota en la mesa, pero no sé de quién es."
